NDVI,NDWI,NDBI,ICE,Clase
0.6998888,-0.6391568,-0.21439916,0.2864328,2
0.6008724,-0.55125046,-0.19479111,0.24862345,2
0.5962777,-0.5518441,-0.19571045,0.24648316,2
0.6464267,-0.5897613,-0.21011059,0.26829425,2
0.6515755,-0.58774376,-0.1847233,0.263656,2
0.5702128,-0.5401739,-0.17049961,0.22822149,2
0.46173468,-0.47728005,-0.13045622,0.1745482,1
0.42459396,-0.4329055,-0.16425693,0.17499296,1
0.38787186,-0.3866819,-0.124189064,0.15385626,1
0.35307518,-0.35115156,-0.11392405,0.1404845,1
0.2874618,-0.2760798,-0.10971993,0.12143091,1
0.2405418,-0.20947176,-0.13443673,0.11870757,1
0.2244356,-0.19070168,-0.1339551,0.114264,1
0.2572968,-0.21527778,-0.13994911,0.12757757,1
0.27373272,-0.23063223,-0.15034856,0.13584448,1
0.27247453,-0.22479929,-0.14715405,0.13542362,1
0.28554913,-0.24051763,-0.16757666,0.14494404,1
0.29182878,-0.23555167,-0.1748543,0.15126035,1
0.31260154,-0.24966858,-0.20084925,0.16662183,1
0.33173424,-0.27632183,-0.19192787,0.16818112,1
0.35771543,-0.29263058,-0.1899012,0.17730196,1
0.39175797,-0.31948566,-0.18236206,0.18669046,1
0.38980392,-0.328004,-0.19608505,0.18812667,1
0.36312848,-0.2981862,-0.20076054,0.18215516,1
0.3836218,-0.3185623,-0.22773638,0.19641936,1
0.4390311,-0.35827488,-0.21623822,0.21273203,2
0.45196134,-0.39144647,-0.2215712,0.21416274,2
0.470124,-0.40820736,-0.2314957,0.22286923,2
0.49577805,-0.45241582,-0.22227699,0.22408895,2
0.47458142,-0.4331361,-0.211,0.2139635,2
0.46263346,-0.41318053,-0.22336599,0.21569042,2
0.50075644,-0.4502924,-0.22605364,0.22813582,2
0.5371741,-0.48692402,-0.20469163,0.23260973,2
0.5187638,-0.46829268,-0.20868365,0.22832845,2
0.4581105,-0.4250871,-0.17768446,0.19734317,1
0.41096663,-0.383592,-0.18588907,0.18453163,1
0.37100607,-0.3258427,-0.16360377,0.16941562,1
0.3330042,-0.27058825,-0.1826544,0.16718078,1
0.3147926,-0.24806555,-0.16917174,0.1585347,1
0.3150296,-0.26043558,-0.17549984,0.15807763,1
0.30929524,-0.26515839,-0.16512136,0.15115234,1
0.31232622,-0.26598123,-0.171337,0.15436797,1
0.32909092,-0.28077093,-0.17630494,0.16128276,1
0.34896553,-0.29023746,-0.17795844,0.16982281,1
0.36246184,-0.30718955,-0.1842777,0.17507632,1
0.38454154,-0.34201956,-0.18160401,0.17834806,1
0.40516606,-0.37871107,-0.19235988,0.18454878,1
0.41280788,-0.37257716,-0.19437793,0.1902019,1
0.4577914,-0.3661568,-0.25916952,0.23341519,2
0.58413464,-0.50542545,-0.22107701,0.25730532,2
0.70233876,-0.6164199,-0.28209233,0.31251308,2
0.7590611,-0.6648154,-0.30901617,0.33927232,2
0.7580247,-0.6471314,-0.37646604,0.36252588,2
0.7743839,-0.6554404,-0.35758862,0.36338046,2
0.7589425,-0.661708,-0.32552007,0.34478566,2
